service_id,date,exception_type
ETE20_01-Lun-Sam-20-2020T-1111110,20200722,1
ETE20_02-Lun-Sam-20-2020T-1111110,20200722,1
ETE20_03-Lun-Sam-20-2020T-1111110,20200722,1
ETE20_04-Lun-Sam-20-2020T-1111110,20200722,1
ETE20_05-Lun-Sam-20-2020T-1111110,20200722,1
ETE20_06-Lun-Sam-20-2020T-1111100,20200722,1
ETE20_06-Lun-Sam-20-2020T-1111110,20200722,1
ETE20_07-Lun-Sam-20-2020T-1111100,20200722,1
ETE20_07-Lun-Sam-20-2020T-1111110,20200722,1
ETE20_08-Lun-Sam-20-2020T-1111100,20200722,1
ETE20_08-Lun-Sam-20-2020T-1111110,20200722,1
ETE20_09-Lun-Sam-20-2020T-1111100,20200722,1
ETE20_09-Lun-Sam-20-2020T-1111110,20200722,1
ETE20_10-Lun-Sam-20-2020T-1111100,20200722,1
ETE20_10-Lun-Sam-20-2020T-1111110,20200722,1
ETE20_11-Lun-Sam-20-2020T-1111100,20200722,1
ETE20_11-Lun-Sam-20-2020T-1111110,20200722,1
ETE20_12-Lun-Sam-20-2020T-1111110,20200722,1
ETE20_1s-Lun-Sam-20-2020T-1111110,20200722,1
ETE20_2s-Lun-Sam-20-2020T-1111110,20200722,1
ETE20_3s-Lun-Sam-20-2020T-1111110,20200722,1
ETE20_4s-Lun-Sam-20-2020T-1111110,20200722,1
ETE21_A-Lun-Sam-21-2020T-1111110,20200722,1
PRTEté21-L-Ma-Me-J-21-2020T-1111111,20200722,1
ETE20_13-Lun-Sam-1-SUB1920-1111110,20200722,1
ETE20_15-Lun-Sam-1-SUB1920-1111110,20200722,1
ETE20_30-Lun-Sam-1-SUB1920-1111100,20200722,1
ETE20_30-Lun-Sam-1-SUB1920-1111110,20200722,1
ETE20_31-Lun-Sam-1-SUB1920-1111100,20200722,1
ETE20_31-Lun-Sam-1-SUB1920-1111110,20200722,1
ETE20_32-Lun-Sam-1-SUB1920-1111100,20200722,1
ETE20_32-Lun-Sam-1-SUB1920-1111110,20200722,1
ETE20_33-Lun-Sam-1-SUB1920-1111100,20200722,1
ETE20_33-Lun-Sam-1-SUB1920-1111110,20200722,1
ETE20_34-Lun-Sam-1-SUB1920-1111110,20200722,1
ETE20_35-Lun-Sam-1-SUB1920-1111100,20200722,1
ETE20_35-Lun-Sam-1-SUB1920-1111110,20200722,1
ETE20_36-Lun-Sam-1-SUB1920-1111100,20200722,1
ETE20_36-Lun-Sam-1-SUB1920-1111110,20200722,1
ETE20_37-Lun-Sam-1-SUB1920-1111110,20200722,1
ETE20_38-Lun-Sam-1-SUB1920-1111100,20200722,1
ETE20_38-Lun-Sam-1-SUB1920-1111110,20200722,1
ETE20_39-Lun-Sam-1-SUB1920-1111100,20200722,1
ETE20_39-Lun-Sam-1-SUB1920-1111110,20200722,1
ETE20_41-Lun-Sam-1-SUB1920-1111110,20200722,1
ETE20_42-Lun-Sam-1-SUB1920-1111100,20200722,1
ETE20_42-Lun-Sam-1-SUB1920-1111110,20200722,1
ETE20_43-Lun-Sam-1-SUB1920-1111100,20200722,1
ETE20_43-Lun-Sam-1-SUB1920-1111110,20200722,1
ETE20_44-Lun-Sam-1-SUB1920-1111100,20200722,1
ETE20_44-Lun-Sam-1-SUB1920-1111110,20200722,1
ETE20_45-Lun-Sam-1-SUB1920-1111100,20200722,1
ETE20_45-Lun-Sam-1-SUB1920-1111110,20200722,1
Taxi_ls-Lun-Sam-1-I_TAXI17-1111110,20200722,1
ETE20_01-Lun-Sam-20-2020T-1111110,20200723,1
ETE20_02-Lun-Sam-20-2020T-1111110,20200723,1
ETE20_03-Lun-Sam-20-2020T-1111110,20200723,1
ETE20_04-Lun-Sam-20-2020T-1111110,20200723,1
ETE20_05-Lun-Sam-20-2020T-1111110,20200723,1
ETE20_06-Lun-Sam-20-2020T-1111100,20200723,1
ETE20_06-Lun-Sam-20-2020T-1111110,20200723,1
ETE20_07-Lun-Sam-20-2020T-1111100,20200723,1
ETE20_07-Lun-Sam-20-2020T-1111110,20200723,1
ETE20_08-Lun-Sam-20-2020T-1111100,20200723,1
ETE20_08-Lun-Sam-20-2020T-1111110,20200723,1
ETE20_09-Lun-Sam-20-2020T-1111100,20200723,1
ETE20_09-Lun-Sam-20-2020T-1111110,20200723,1
ETE20_10-Lun-Sam-20-2020T-1111100,20200723,1
ETE20_10-Lun-Sam-20-2020T-1111110,20200723,1
ETE20_11-Lun-Sam-20-2020T-1111100,20200723,1
ETE20_11-Lun-Sam-20-2020T-1111110,20200723,1
ETE20_12-Lun-Sam-20-2020T-1111110,20200723,1
ETE20_1s-Lun-Sam-20-2020T-1111110,20200723,1
ETE20_2s-Lun-Sam-20-2020T-1111110,20200723,1
ETE20_3s-Lun-Sam-20-2020T-1111110,20200723,1
ETE20_4s-Lun-Sam-20-2020T-1111110,20200723,1
ETE21_A-Lun-Sam-21-2020T-1111110,20200723,1
PRTEté21-L-Ma-Me-J-21-2020T-1111111,20200723,1
ETE20_13-Lun-Sam-1-SUB1920-1111110,20200723,1
