stop_id,stop_code,stop_name,stop_desc,stop_lat,stop_lon,zone_id,stop_url,location_type,parent_station,stop_timezone,wheelchair_boarding
1AARD,5009,"AVRILLE - ARDENNE",,47.511510,-0.596150,,,0,zone_AVRILLE_-_ARDENNE,,1
1ACAS,16233,"ACACIAS",,47.503662,-0.586485,,,0,zone_ACACIAS,,1
1BAMA,24604,"BAMAKO",,47.452231,-0.556340,,,0,zone_BAMAKO,,1
1BASC,4827,"BASCULE",,47.508797,-0.591643,,,0,zone_BASCULE,,1
1BMAI,16196,"BERGES DE MAINE",,47.479251,-0.549497,,,0,zone_BERGES_DE_MAINE,,1
1BOTA,24128,"TERRA BOTANICA",,47.494143,-0.574887,,,0,zone_TERRA_BOTANICA,,1
1BROY,32629,"BOIS DU ROY",,47.499656,-0.583290,,,0,zone_BOIS_DU_ROY,,1
1CAPU,29904,"CAPUCINS",,47.486972,-0.555014,,,0,zone_CAPUCINS,,1
1FMBL,11327,"FOCH MAISON BLEUE",,47.469026,-0.549513,,,0,zone_FOCH_MAISON_BLEUE,,1
1HARA,24652,"FOCH HARAS",,47.466817,-0.552566,,,0,zone_FOCH_HARAS,,1
1HOPA,24731,"CHU - HOPITAL",,47.481483,-0.553866,,,0,zone_CHU_-_HOPITAL,,1
1HSAU,3016,"HAUTS DE SAINT AUBIN",,47.492137,-0.560448,,,0,zone_HAUTS_DE_SAINT_AUBIN,,1
1JE23,24624,"JEAN XXIII",,47.448556,-0.562908,,,0,zone_JEAN_XXIII,,1
1JMOU,4159,"JEAN MOULIN",,47.490537,-0.552074,,,0,zone_JEAN_MOULIN,,1
1JVIL,20509,"JEAN VILAR",,47.444925,-0.562352,,,0,zone_JEAN_VILAR,,1
1LAFA,31950,"PLACE LA FAYETTE",,47.460867,-0.554739,,,0,zone_PLACE_LA_FAYETTE,,1
1LGAR,20910,"LES GARES",,47.464476,-0.555479,,,0,zone_LES_GARES,,1
1MOLI,2492,"MOLIERE",,47.474151,-0.554783,,,0,zone_MOLIERE,,1
1PMAY,17915,"PLATEAU DE MAYENNE",,47.495756,-0.580181,,,0,zone_PLATEAU_DE_MAYENNE,,1
1RALL,24847,"RALLIEMENT",,47.471211,-0.551782,,,0,zone_RALLIEMENT,,1
1SERG,4712,"SAINT SERGE UNIVERSITE",,47.476855,-0.551372,,,0,zone_SAINT_SERGE_UNIVERSITE,,0
1STGI,23494,"SAINT GILLES",,47.506466,-0.589496,,,0,zone_SAINT_GILLES,,1
1STRA,7319,"STRASBOURG",,47.456849,-0.554136,,,0,zone_STRASBOURG,,1
1VERN,25220,"VERNEAU TRAM",,47.492362,-0.567312,,,0,zone_VERNEAU_TRAM,,1
2ACAS,12080,"ACACIAS",,47.503739,-0.586277,,,0,zone_ACACIAS,,1
2ANRO,32091,"ANGERS - ROSERAIE",,47.443964,-0.553981,,,0,zone_ANGERS_-_ROSERAIE,,1
2BAMA,30251,"BAMAKO",,47.452179,-0.556271,,,0,zone_BAMAKO,,1
2BASC,3822,"BASCULE",,47.508797,-0.591643,,,0,zone_BASCULE,,1
2BMAI,28864,"BERGES DE MAINE",,47.479325,-0.549421,,,0,zone_BERGES_DE_MAINE,,1
2BOTA,22213,"TERRA BOTANICA",,47.494275,-0.575013,,,0,zone_TERRA_BOTANICA,,1
2BROY,31784,"BOIS DU ROY",,47.499715,-0.583108,,,0,zone_BOIS_DU_ROY,,1
2CAPU,3726,"CAPUCINS",,47.486938,-0.554933,,,0,zone_CAPUCINS,,1
2FMBL,3788,"FOCH MAISON BLEUE",,47.469087,-0.549596,,,0,zone_FOCH_MAISON_BLEUE,,1
2HARA,14426,"FOCH HARAS",,47.466764,-0.552510,,,0,zone_FOCH_HARAS,,1
2HOPA,13445,"CHU - HOPITAL",,47.481483,-0.553866,,,0,zone_CHU_-_HOPITAL,,1
2HSAU,29280,"HAUTS DE SAINT AUBIN",,47.492209,-0.560452,,,0,zone_HAUTS_DE_SAINT_AUBIN,,1
2JE23,30963,"JEAN XXIII",,47.448521,-0.562853,,,0,zone_JEAN_XXIII,,1
2JMOU,14673,"JEAN MOULIN",,47.490514,-0.551940,,,0,zone_JEAN_MOULIN,,1
2JVIL,4486,"JEAN VILAR",,47.444918,-0.562259,,,0,zone_JEAN_VILAR,,1
2LAFA,15573,"PLACE LA FAYETTE",,47.460867,-0.554739,,,0,zone_PLACE_LA_FAYETTE,,1
2LGAR,11515,"LES GARES",,47.464478,-0.555373,,,0,zone_LES_GARES,,1
2MOLI,5543,"MOLIERE",,47.474218,-0.554614,,,0,zone_MOLIERE,,1
2PMAY,4961,"PLATEAU DE MAYENNE",,47.495805,-0.580011,,,0,zone_PLATEAU_DE_MAYENNE,,1
2RALL,22040,"RALLIEMENT",,47.471285,-0.551680,,,0,zone_RALLIEMENT,,1
2SERG,8368,"SAINT SERGE UNIVERSITE",,47.476813,-0.551276,,,0,zone_SAINT_SERGE_UNIVERSITE,,0
2STGI,31945,"SAINT GILLES",,47.506515,-0.589365,,,0,zone_SAINT_GILLES,,1
2STRA,16728,"STRASBOURG",,47.457472,-0.554090,,,0,zone_STRASBOURG,,1
2VERN,13983,"VERNEAU TRAM",,47.492443,-0.567304,,,0,zone_VERNEAU_TRAM,,1
AAMIPI,32237,"AMIPI",,47.463706,-0.626649,,,0,zone_AMIPI,,0
AAMIPI-E,28632,"AMIPI",,47.463779,-0.626664,,,0,zone_AMIPI,,0
AARD-7C,562,"AVRILLE - ARDENNE",,47.511061,-0.595373,,,0,zone_AVRILLE_-_ARDENNE,,1
AARD-7E,27206,"AVRILLE - ARDENNE",,47.511986,-0.596535,,,0,zone_AVRILLE_-_ARDENNE,,1
ABI,180,"AVICENNE",,47.481310,-0.688481,,,0,zone_AVICENNE,,0
ABI-E,931,"AVICENNE",,47.481227,-0.688860,,,0,zone_AVICENNE,,0
ACADEMIE,913399,"ACADEMIE",,47.467582,-0.559105,,,0,zone_ACADEMIE,,0
ACAD-PLA,33737,"ACADEMIE",,47.468355,-0.558750,,,0,zone_ACADEMIE,,0
ACAS-7C,9581,"ACACIAS",,47.502728,-0.585677,,,0,zone_ACACIAS,,0
ACAS-7E,19485,"ACACIAS",,47.503235,-0.585904,,,0,zone_ACACIAS,,0
ADEZIERE,1649,"AVRILLE ADEZIERE",,47.504918,-0.605111,,,0,zone_AVRILLE_ADEZIERE,,1
AIGREFOI,805210,"AIGREFOIN",,47.473271,-0.439669,,,0,zone_AIGREFOIN,,0
ALEROY,16814,"ANDRE LEROY",,47.464498,-0.548546,,,0,zone_ANDRE_LEROY,,1
ALLARD,27879,"ALLARD",,47.449623,-0.538895,,,0,zone_ALLARD,,1
ALLARD-E,5528,"ALLARD",,47.448916,-0.538647,,,0,zone_ALLARD,,1
ALLEMA-E,9078,"ALLEMAGNE",,47.528007,-0.599936,,,0,zone_ALLEMAGNE,,1
ALLEMAGN,7193,"ALLEMAGNE",,47.526691,-0.601943,,,0,zone_ALLEMAGNE,,1
ALLONN-E,5460,"ALLONNEAU",,47.485222,-0.526929,,,0,zone_ALLONNEAU,,1
ALLONNEA,16562,"ALLONNEAU",,47.485156,-0.527018,,,0,zone_ALLONNEAU,,1
ALLUME-E,6636,"ALLUMETTES",,47.445034,-0.502213,,,0,zone_ALLUMETTES,,0
ALLUMETT,15447,"ALLUMETTES",,47.445142,-0.502320,,,0,zone_ALLUMETTES,,0
ANAFRA-E,882585,"ANATOLE FRANCE",,47.531356,-0.613781,,,0,zone_ANATOLE_FRANCE,,1
ANAFRAN,345518,"ANATOLE FRANCE",,47.531121,-0.613717,,,0,zone_ANATOLE_FRANCE,,1
ANBRUE-E,648185,"ANDRE BRUEL",,47.526706,-0.467992,,,0,zone_ANDRE_BRUEL,,1
ANBRUEL,491458,"ANDRE BRUEL",,47.526561,-0.468102,,,0,zone_ANDRE_BRUEL,,1
ANDALA-E,587106,"GRAND LAUNAY",,47.461947,-0.387219,,,0,zone_GRAND_LAUNAY,,0
ANDALAUN,544772,"GRAND LAUNAY",,47.461900,-0.387385,,,0,zone_GRAND_LAUNAY,,0
ANDAMA-E,319038,"ANDARD MAIRIE",,47.456557,-0.397699,,,0,zone_ANDARD_MAIRIE,,0
ANDAMAIR,383609,"ANDARD MAIRIE",,47.456494,-0.398196,,,0,zone_ANDARD_MAIRIE,,0
ANDARE-E,503720,"REZEAU",,47.466883,-0.381880,,,0,zone_REZEAU,,0
ANDARESA,293715,"REZEAU",,47.467917,-0.378972,,,0,zone_REZEAU,,0
ANFRANCK,6103,"ANNE FRANK",,47.463559,-0.537808,,,0,zone_ANNE_FRANK,,1
ANFRAN-E,7909,"ANNE FRANK",,47.463463,-0.537668,,,0,zone_ANNE_FRANK,,1
ANLERO-E,14800,"ANDRE LEROY",,47.464710,-0.549014,,,0,zone_ANDRE_LEROY,,1
ANLEROY,29097,"ANDRE LEROY",,47.464588,-0.548259,,,0,zone_ANDRE_LEROY,,1
ANRO-11C,7919,"ANGERS - ROSERAIE",,47.444921,-0.551629,,,0,zone_ANGERS_-_ROSERAIE,,0
ANRO-11E,17931,"ANGERS - ROSERAIE",,47.444877,-0.551827,,,0,zone_ANGERS_-_ROSERAIE,,0
ANRO-5A,17458,"ANGERS - ROSERAIE",,47.443977,-0.553905,,,0,zone_ANGERS_-_ROSERAIE,,1
ANRO-5B,12151,"ANGERS - ROSERAIE",,47.443826,-0.553682,,,0,zone_ANGERS_-_ROSERAIE,,1
