route_id,service_id,trip_id,trip_headsign,direction_id,block_id,wheelchair_accessible
1d,1_Djf_70-7-jours-70-2020T-1111111,4183388,"SAINT AUBIN LA SALLE par MONPLAISIR",0,1163140,1
1d,1_Djf_70-7-jours-70-2020T-1111111,4183383,"SAINT AUBIN LA SALLE par MONPLAISIR",0,1163138,1
1d,1_Djf_70-7-jours-70-2020T-1111111,4183365,"SAINT AUBIN LA SALLE par MONPLAISIR",0,1163140,1
1d,1_Djf_70-7-jours-70-2020T-1111111,4183371,"SAINT AUBIN LA SALLE par MONPLAISIR",0,1163141,1
1d,1_Djf_70-7-jours-70-2020T-1111111,4183361,"SAINT AUBIN LA SALLE par MONPLAISIR",0,1163141,1
1d,1_Djf_70-7-jours-70-2020T-1111111,4183393,"SAINT AUBIN LA SALLE par MONPLAISIR",0,1163138,1
1d,1_Djf_70-7-jours-70-2020T-1111111,4183398,"SAINT AUBIN LA SALLE par MONPLAISIR",0,1163141,1
1d,1_Djf_70-7-jours-70-2020T-1111111,4183373,"SAINT AUBIN LA SALLE par MONPLAISIR",0,1163136,1
1d,1_Djf_70-7-jours-70-2020T-1111111,4183364,"SAINT AUBIN LA SALLE par MONPLAISIR",0,1163136,1
1d,1_Djf_70-7-jours-70-2020T-1111111,4183395,"SAINT AUBIN LA SALLE par MONPLAISIR",0,1163140,1
1d,1_Djf_70-7-jours-70-2020T-1111111,4183381,"EVENTARD par MONPLAISIR",0,1163139,1
1d,1_Djf_70-7-jours-70-2020T-1111111,4183382,"EVENTARD par MONPLAISIR",0,1163135,1
1d,1_Djf_70-7-jours-70-2020T-1111111,4183369,"EVENTARD par MONPLAISIR",0,1163137,1
1d,1_Djf_70-7-jours-70-2020T-1111111,4183391,"EVENTARD par MONPLAISIR",0,1163139,1
1d,1_Djf_70-7-jours-70-2020T-1111111,4183370,"EVENTARD par MONPLAISIR",0,1163135,1
1d,1_Djf_70-7-jours-70-2020T-1111111,4183363,"EVENTARD par MONPLAISIR",0,1163137,1
1d,1_Djf_70-7-jours-70-2020T-1111111,4183392,"EVENTARD par MONPLAISIR",0,1163135,1
1d,1_Djf_70-7-jours-70-2020T-1111111,4183387,"EVENTARD par MONPLAISIR",0,1163135,1
1d,1_Djf_70-7-jours-70-2020T-1111111,4183374,"EVENTARD par MONPLAISIR",0,1163135,1
1d,1_Djf_70-7-jours-70-2020T-1111111,4183368,"VAL DE MAINE par  BELLE BEILLE",1,1163136,1
1d,1_Djf_70-7-jours-70-2020T-1111111,4183386,"VAL DE MAINE par  BELLE BEILLE",1,1163138,1
1d,1_Djf_70-7-jours-70-2020T-1111111,4183359,"VAL DE MAINE par  BELLE BEILLE",1,1163136,1
1d,1_Djf_70-7-jours-70-2020T-1111111,4183379,"BEAUCOUZE HAUTE ROCHE par BELLE BEILLE",1,1163137,1
1d,1_Djf_70-7-jours-70-2020T-1111111,4183385,"VAL DE MAINE par  BELLE BEILLE",1,1163140,1
1d,1_Djf_70-7-jours-70-2020T-1111111,4183390,"VAL DE MAINE par  BELLE BEILLE",1,1163140,1
1d,1_Djf_70-7-jours-70-2020T-1111111,4183372,"LAC DE MAINE par BELLE BEILLE",1,1163143,1
1d,1_Djf_70-7-jours-70-2020T-1111111,4183394,"VAL DE MAINE par  BELLE BEILLE",1,1163138,1
1d,1_Djf_70-7-jours-70-2020T-1111111,4183397,"VAL DE MAINE par  BELLE BEILLE",1,1163141,1
1d,1_Djf_70-7-jours-70-2020T-1111111,4183362,"BEAUCOUZE HAUTE ROCHE par BELLE BEILLE",1,1163137,1
1d,1_Djf_70-7-jours-70-2020T-1111111,4183360,"BEAUCOUZE HAUTE ROCHE par BELLE BEILLE",1,1163135,1
1d,1_Djf_70-7-jours-70-2020T-1111111,4183396,"BEAUCOUZE HAUTE ROCHE par BELLE BEILLE",1,1163135,1
1d,1_Djf_70-7-jours-70-2020T-1111111,4183399,"BEAUCOUZE HAUTE ROCHE par BELLE BEILLE",1,1163135,1
1d,1_Djf_70-7-jours-70-2020T-1111111,4183389,"BEAUCOUZE HAUTE ROCHE par BELLE BEILLE",1,1163139,1
1d,1_Djf_70-7-jours-70-2020T-1111111,4183380,"LAC DE MAINE par BELLE BEILLE",1,1163139,1
1d,1_Djf_70-7-jours-70-2020T-1111111,4183400,"BEAUCOUZE HAUTE ROCHE par BELLE BEILLE",1,1163135,1
1d,1_Djf_70-7-jours-70-2020T-1111111,4183384,"BEAUCOUZE HAUTE ROCHE par BELLE BEILLE",1,1163139,1
1d,1_Djf_70-7-jours-70-2020T-1111111,4183367,"BEAUCOUZE HAUTE ROCHE par BELLE BEILLE",1,1163137,1
1d,1_Djf_70-7-jours-70-2020T-1111111,4183366,"BEAUCOUZE HAUTE ROCHE par BELLE BEILLE",1,1163135,1
1d,1_Djf_70-7-jours-70-2020T-1111111,4183378,"LAC DE MAINE par BELLE BEILLE",1,1163143,1
1d,1_Djf_70-7-jours-70-2020T-1111111,4183377,"LAC DE MAINE par BELLE BEILLE",1,1163142,1
1d,1_Djf_70-7-jours-70-2020T-1111111,4183375,"LAC DE MAINE par BELLE BEILLE",1,1163144,1
1d,1_Djf_70-7-jours-70-2020T-1111111,4183376,"MONPLAISIR",0,1163142,1
1d,1_Djf_70-7-jours-70-2020T-1111111,4183407,"MONPLAISIR",0,1163144,1
1d,1_Djf_70-7-jours-70-2020T-1111111,4183401,"MONPLAISIR",0,1163143,1
1d,1_Djf_70-7-jours-70-2020T-1111111,4183403,"LAC DE MAINE par BELLE BEILLE",1,1163142,1
1d,1_Djf_70-7-jours-70-2020T-1111111,4183402,"MONPLAISIR",0,1163144,1
1d,1_Djf_70-7-jours-70-2020T-1111111,4183405,"VAL DE MAINE par  BELLE BEILLE",1,1163141,1
1d,1_Djf_70-7-jours-70-2020T-1111111,4183404,"BEAUCOUZE HAUTE ROCHE par BELLE BEILLE",1,1163136,1
1d,1_Djf_70-7-jours-70-2020T-1111111,4183406,"VAL DE MAINE par  BELLE BEILLE",1,1163138,1
1d,1_Djf_70-7-jours-70-2020T-1111111,4183408,"MONPLAISIR",0,1163143,1
1d,1_Djf_70-7-jours-70-2020T-1111111,4183423,"MONPLAISIR",0,1163142,1
1d,1_Djf_70-7-jours-70-2020T-1111111,4183410,"VAL DE MAINE par  BELLE BEILLE",1,1163142,1
1d,1_Djf_70-7-jours-70-2020T-1111111,4183416,"VAL DE MAINE par  BELLE BEILLE",1,1163144,1
1d,1_DjfE20-7-jours-81-2020T-1111111,4108356,"SAINT AUBIN LA SALLE par MONPLAISIR",0,1151757,1
1d,1_DjfE20-7-jours-81-2020T-1111111,4108353,"SAINT AUBIN LA SALLE par MONPLAISIR",0,1151756,1
1d,1_DjfE20-7-jours-81-2020T-1111111,4108351,"SAINT AUBIN LA SALLE par MONPLAISIR",0,1151754,1
