service_id,monday,tuesday,wednesday,thursday,friday,saturday,sunday,start_date,end_date
2,0,1,0,0,0,0,0,20201020,20201027
3,0,0,1,0,0,0,0,20201021,20201028
4,0,0,0,1,0,0,0,20201022,20201029
5,0,0,0,0,1,0,0,20201023,20201030
6,1,1,1,1,1,0,0,20201019,20201030
12,1,1,1,1,1,0,0,20210426,20210514
13,1,1,1,1,1,0,0,20210426,20210514
14,1,0,0,0,0,0,0,20201102,20201220
15,0,1,0,0,0,0,0,20210510,20210629
16,0,0,1,0,0,0,0,20210510,20210630
17,0,0,0,1,0,0,0,20201102,20201220
18,0,0,0,0,1,0,0,20201102,20201220
19,1,1,0,1,1,0,0,20201102,20201220
20,1,1,1,1,1,0,0,20210510,20210702
21,0,0,0,0,0,1,0,20201010,20210425
22,0,0,0,0,0,0,1,20201011,20210627
