shape_id,shape_pt_lon,shape_pt_lat,shape_pt_sequence
MAN330004,0.0792672578,48.0260332426,0
MAN330004,0.0790150985,48.0248444773,1
MAN330004,0.0790150985,48.0248444773,2
MAN330004,0.0985129132,48.0223489683,3
MAN330004,0.0985129132,48.0223489683,4
MAN330004,0.1057888371,48.0247008632,5
MAN330004,0.1057888371,48.0247008632,6
MAN330004,0.1133150867,48.0271739931,7
MAN330004,0.1133150867,48.0271739931,8
MAN330004,0.1507949842,48.0170861278,9
MAN330005,0.1507949842,48.0170861278,0
MAN330005,0.1131941038,48.0271806923,1
MAN330005,0.1131941038,48.0271806923,2
MAN330005,0.1055644665,48.0246156233,3
MAN330005,0.1055644665,48.0246156233,4
MAN330005,0.0992230662,48.0223625396,5
MAN330005,0.0992230662,48.0223625396,6
MAN330005,0.0796146179,48.0249369999,7
MAN330005,0.0796146179,48.0249369999,8
MAN330005,0.0792672578,48.0260332426,9
MAN240023,0.2381803833,47.907024299,0
MAN240023,0.2409422152,47.9062102266,1
MAN240023,0.2409422152,47.9062102266,2
MAN240023,0.2454336322,47.9069924133,3
MAN240023,0.2454336322,47.9069924133,4
MAN240023,0.2483996292,47.9074412981,5
MAN240023,0.2483996292,47.9074412981,6
MAN240023,0.2517605544,47.9097503814,7
MAN240023,0.2517605544,47.9097503814,8
MAN240023,0.2503151034,47.9134850084,9
MAN240023,0.2503151034,47.9134850084,10
MAN240023,0.2557884244,47.9141583608,11
MAN240023,0.2557884244,47.9141583608,12
MAN240023,0.2584414715,47.915770913,13
MAN240023,0.2584414715,47.915770913,14
MAN240023,0.257160157,47.9187438507,15
MAN240023,0.257160157,47.9187438507,16
MAN240023,0.2513767546,47.9198103032,17
MAN240023,0.2513767546,47.9198103032,18
MAN240023,0.2483493172,47.9171743319,19
MAN240023,0.2483493172,47.9171743319,20
MAN240023,0.2475090747,47.9133808971,21
MAN240023,0.2475090747,47.9133808971,22
MAN240023,0.2329735122,47.9403336858,23
MAN240023,0.2329735122,47.9403336858,24
MAN240023,0.2216368114,47.9559533856,25
MAN270006,0.2216368114,47.9559533856,0
MAN270006,0.2298674335,47.9554272395,1
MAN270006,0.2298674335,47.9554272395,2
MAN270006,0.2339858529,47.9512192195,3
MAN270006,0.2339858529,47.9512192195,4
MAN270006,0.2400556843,47.9440503585,5
MAN270006,0.2400556843,47.9440503585,6
MAN270006,0.2617080108,47.942304548,7
MAN270006,0.2617080108,47.942304548,8
MAN270006,0.2634355026,47.9412736583,9
MAN270006,0.2634355026,47.9412736583,10
MAN270006,0.2653646968,47.9398774788,11
MAN270006,0.2653646968,47.9398774788,12
MAN270006,0.2683914361,47.9442941428,13
MAN270006,0.2683914361,47.9442941428,14
MAN270006,0.2651629281,47.9446777946,15
MAN270006,0.2651629281,47.9446777946,16
MAN270006,0.2609845408,47.948445003,17
MAN270005,0.2609845408,47.948445003,0
MAN270005,0.2647326152,47.9450659958,1
MAN270005,0.2647326152,47.9450659958,2
MAN270005,0.2683995383,47.9440873774,3
MAN270005,0.2683995383,47.9440873774,4
MAN270005,0.2652801898,47.9399839343,5
MAN270005,0.2652801898,47.9399839343,6
MAN270005,0.2622896915,47.9421529406,7
MAN270005,0.2622896915,47.9421529406,8
MAN270005,0.2399554301,47.9438776345,9
MAN270005,0.2399554301,47.9438776345,10
MAN270005,0.2337469013,47.951502798,11
MAN270005,0.2337469013,47.951502798,12
MAN270005,0.2297980074,47.9554889614,13
MAN270005,0.2297980074,47.9554889614,14
MAN270005,0.2216368114,47.9559533856,15
MAN240028,0.2216368114,47.9559533856,0
MAN240028,0.232703067,47.9404007885,1
MAN240028,0.232703067,47.9404007885,2
MAN240028,0.2480197062,47.9133270517,3
MAN240028,0.2480197062,47.9133270517,4
MAN240028,0.2503151034,47.9134850084,5
MAN240028,0.2503151034,47.9134850084,6
MAN240028,0.2557884244,47.9141583608,7
MAN240028,0.2557884244,47.9141583608,8
MAN240028,0.2584414715,47.915770913,9
MAN240028,0.2584414715,47.915770913,10
MAN240028,0.257160157,47.9187438507,11
MAN240028,0.257160157,47.9187438507,12
MAN240028,0.2513767546,47.9198103032,13
MAN240028,0.2513767546,47.9198103032,14
MAN240028,0.2483493172,47.9171743319,15
MAN240028,0.2483493172,47.9171743319,16
MAN240028,0.2497059196,47.9126464767,17
MAN240028,0.2497059196,47.9126464767,18
MAN240028,0.2516701495,47.9096678021,19
MAN240028,0.2516701495,47.9096678021,20
MAN240028,0.2491291073,47.9072654123,21
MAN240028,0.2491291073,47.9072654123,22
MAN240028,0.2465408374,47.9064004788,23
MAN240028,0.2465408374,47.9064004788,24
MAN240028,0.2408074418,47.9062347979,25
MAN240028,0.2408074418,47.9062347979,26
MAN240028,0.2381803833,47.907024299,27
MAN250015,0.1978510822,48.0028851578,0
MAN250015,0.1989132653,48.0041280112,1
MAN250015,0.1989132653,48.0041280112,2
MAN250015,0.205001709,48.0027367191,3
MAN250015,0.205001709,48.0027367191,4
MAN250015,0.2091599369,48.0016698858,5
MAN250015,0.2091599369,48.0016698858,6
MAN250015,0.2117251831,48.0005470115,7
MAN250015,0.2117251831,48.0005470115,8
MAN250015,0.2134342015,47.9987158666,9
MAN250015,0.2134342015,47.9987158666,10
MAN250015,0.2198911563,47.9967997395,11
MAN250015,0.2198911563,47.9967997395,12
MAN250015,0.2276376555,47.9974793364,13
MAN250015,0.2276376555,47.9974793364,14
MAN250015,0.2300141406,47.9977110481,15
MAN250015,0.2300141406,47.9977110481,16
MAN250015,0.2355245784,47.9993483926,17
MAN250015,0.2355245784,47.9993483926,18
MAN250015,0.2403162021,47.9998571139,19
MAN250015,0.2403162021,47.9998571139,20
MAN250015,0.2636584171,48.0095744496,21
MAN250015,0.2636584171,48.0095744496,22
MAN250015,0.2674763668,48.0123766883,23
MAN250015,0.2674763668,48.0123766883,24
MAN250015,0.2722617799,48.0138680908,25
MAN250015,0.2722617799,48.0138680908,26
MAN250015,0.2856418334,48.0113559733,27
MAN250015,0.2856418334,48.0113559733,28
MAN250015,0.3177138851,48.0133437296,29
MAN250015,0.3177138851,48.0133437296,30
MAN250015,0.3230778947,48.0175200716,31
MAN250015,0.3230778947,48.0175200716,32
MAN250015,0.327156066,48.0185166685,33
MAN250015,0.327156066,48.0185166685,34
MAN250015,0.331116541,48.0215530773,35
MAN250015,0.331116541,48.0215530773,36
MAN250015,0.332430417,48.0233206921,37
MAN250015,0.332430417,48.0233206921,38
MAN250015,0.3294231037,48.0241561361,39
MAN250015,0.3294231037,48.0241561361,40
MAN250015,0.3243875814,48.027113784,41
MAN250015,0.3243875814,48.027113784,42
MAN250015,0.3248978118,48.0260430943,43
MAN250015,0.3248978118,48.0260430943,44
MAN250015,0.3299502863,48.0240806137,45
MAN250015,0.3299502863,48.0240806137,46
MAN250015,0.3362809677,48.0239712347,47
MAN250015,0.3362809677,48.0239712347,48
MAN250015,0.335445989,48.0155911849,49
MAN250015,0.335445989,48.0155911849,50
MAN250015,0.3323231866,48.0159155797,51
MAN250015,0.3323231866,48.0159155797,52
MAN250015,0.3358647203,48.0193944321,53
MAN250016,0.1978510822,48.0028851578,0
MAN250016,0.1989132653,48.0041280112,1
MAN250016,0.1989132653,48.0041280112,2
MAN250016,0.205001709,48.0027367191,3
MAN250016,0.205001709,48.0027367191,4
MAN250016,0.2091599369,48.0016698858,5
MAN250016,0.2091599369,48.0016698858,6
