stop_id,stop_name,stop_desc,stop_lat,stop_lon,zone_id,stop_url,location_type,parent_station,wheelchair_boarding
StopArea:MANPLA_GARER,"Gare Routière",,47.997009,0.190329,,,1,,
StopArea:MANPLA_PONTD,"Pont des Tabacs",,47.998806,0.187723,,,1,,
StopArea:MANPLA_COLRY,"Colonel Raynal",,47.999916,0.185533,,,1,,
StopArea:MANPLA_STJOS,"St-Joseph",,47.984444,0.142011,,,1,,
StopArea:MANPLA_STECA,"Ste-Catherine",,48.022961,0.177485,,,1,,
StopArea:MANPLA_EPERO,"Éperon - Cité Plantagenêt",,48.005352,0.19491,,,1,,
StopArea:MANPLA_CHENE,"Chêne Vert",,48.00816,0.189647,,,1,,
StopArea:MANPLA_BOUTT,"Bouttié",,48.011562,0.189254,,,1,,
StopArea:MANPLA_CHASS,"Chasse Royale",,48.014832,0.186064,,,1,,
StopArea:MANPLA_COLON,"Colonel Quéru",,48.016201,0.184734,,,1,,
StopArea:MANPLA_COCHE,"Cochereaux",,48.012753,0.187958,,,1,,
StopArea:MANPLA_FORES,"Foresterie",,48.019909,0.145341,,,1,,
StopArea:MANPLA_SOUVE,"Souvenance",,48.019272,0.148441,,,1,,
StopArea:MANPLA_MVIVE,"Martial Vivet",,48.019749,0.153346,,,1,,
StopArea:MANPLA_EDITH,"Edith Piaf",,48.020756,0.156214,,,1,,
StopArea:MANPLA_BARBA,"Barbara",,48.020855,0.159147,,,1,,
StopArea:MANPLA_DESIR,"Desiré Bourneville",,48.020584,0.166815,,,1,,
StopArea:MANPLA_XAVIE,"Xavier Bichat",,48.022049,0.166124,,,1,,
StopArea:MANPLA_CLAUD,"Claude Bernard",,48.021709,0.163912,,,1,,
StopArea:MANPLA_ECOLL,"École Louise Labé",,48.020821,0.18,,,1,,
StopArea:MANPLA_COLEP,"Collège Épine",,48.016975,0.180439,,,1,,
StopArea:MANPLA_ANCET,"Ancien Étang",,48.043354,0.116375,,,1,,
StopArea:MANPLA_DROUE,"La Drouerie",,48.034618,0.113705,,,1,,
StopArea:MANPLA_MAIRI,"Mairie Trangé",,48.02718,0.113194,,,1,,
StopArea:MANPLA_BRUTR,"Bruyère Trangé",,48.0247,0.105789,,,1,,
StopArea:MANPLA_MURIE,"Mûriers",,48.011787,0.185813,,,1,,
StopArea:MANPLA_COLAP,"Collège Ambroise Paré",,48.004562,0.187327,,,1,,
StopArea:MANPLA_MAISO,"Maisons Rouges",,48.02235,0.098513,,,1,,
StopArea:MANPLA_LESGR,"Les Gravillons",,48.024937,0.079615,,,1,,
StopArea:MANPLA_RTFAY,"Route de Fay",,47.993534,0.106531,,,1,,
StopArea:MANPLA_CITEP,"Cité",,47.992767,0.109351,,,1,,
StopArea:MANPLA_LATOU,"La Touche",,47.987469,0.133992,,,1,,
StopArea:MANPLA_VIEUX,"Vieux Colombier",,47.991074,0.167273,,,1,,
StopArea:MANPLA_EGFAY,"Église Fay",,48.008652,0.070217,,,1,,
StopArea:MANPLA_AIGRV,"Aigreville",,48.005798,0.075443,,,1,,
StopArea:MANPLA_CHANT,"Chantemerle",,47.998528,0.088265,,,1,,
StopArea:MANPLA_ROUTE,"Route du Mans",,47.974316,0.104142,,,1,,
StopArea:MANPLA_CISGB,"Cimetière St-Georges-du-Bois",,47.970757,0.097098,,,1,,
StopArea:MANPLA_CCSGB,"Centre Commercial St-Georges-du-Bois",,47.966919,0.091233,,,1,,
StopArea:MANPLA_CEN,"C.E. NTN",,47.964367,0.125901,,,1,,
StopArea:MANPLA_LESTR,"Les Tremelières",,47.962521,0.120098,,,1,,
StopArea:MANPLA_PETIT,"Petit Chanteloup",,47.958298,0.113297,,,1,,
StopArea:MANPLA_MONGR,"Mongre",,47.955685,0.115859,,,1,,
StopArea:MANPLA_LEROS,"Le Rosier",,47.955498,0.120755,,,1,,
StopArea:MANPLA_LEPAT,"Le Pâtis Vert",,47.955421,0.12428,,,1,,
StopArea:MANPLA_JUIGN,"Juigné",,47.951683,0.128334,,,1,,
StopArea:MANPLA_LACHO,"La Chopinière",,47.947788,0.130305,,,1,,
StopArea:MANPLA_PAVIL,"Pavillon",,47.994457,0.14339,,,1,,
StopArea:MANPLA_LPOIA,"La Pointe Allonnes",,47.94841,0.134698,,,1,,
StopArea:MANPLA_LESSO,"Les Souvres",,47.949753,0.138619,,,1,,
StopArea:MANPLA_LECAR,"Le Carrefour",,47.950027,0.139893,,,1,,
StopArea:MANPLA_LYCMA,"Lycée Malraux",,47.956497,0.165928,,,1,,
StopArea:MANPLA_CEC,"C.E.NTN",,47.964397,0.126127,,,1,,
StopArea:MANPLA_COLMR,"Collège Le Marin",,47.963799,0.159814,,,1,,
StopArea:MANPLA_COLKE,"Collège Kennedy",,47.965153,0.162116,,,1,,
StopArea:MANPLA_TOURE,"Tourellerie",,48.01226,0.135369,,,1,,
StopArea:MANPLA_PRIME,"Primevère",,48.008854,0.13598,,,1,,
StopArea:MANPLA_CHARM,"Charmes",,48.007236,0.138877,,,1,,
StopArea:MANPLA_ORMEA,"Ormeau",,48.006168,0.13868,,,1,,
StopArea:MANPLA_LECHE,"Le Chêne",,47.991531,0.149181,,,1,,
StopArea:MANPLA_STGEO,"St-Georges",,47.983685,0.151395,,,1,,
StopArea:MANPLA_ROUIL,"Rouillon",,48.004631,0.136318,,,1,,
StopArea:MANPLA_BERAR,"Berardière",,47.976078,0.149259,,,1,,
StopArea:MANPLA_LESFA,"Les Fauchetières",,47.9781,0.132333,,,1,,
StopArea:MANPLA_BEAUC,"Beauchêne",,47.976482,0.127135,,,1,,
StopArea:MANPLA_CHFLE,"Champfleuri",,47.974812,0.127821,,,1,,
StopArea:MANPLA_LASAU,"La Saulaie",,47.973545,0.125624,,,1,,
StopArea:MANPLA_LESPE,"Les Petites Allourdes",,47.969185,0.125686,,,1,,
StopArea:MANPLA_LESAL,"Les Allourdes",,47.967411,0.121875,,,1,,
StopArea:MANPLA_LESCO,"Les Courterus",,47.942276,0.115767,,,1,,
StopArea:MANPLA_LESMA,"Les Maréchaux",,47.94437,0.11845,,,1,,
StopArea:MANPLA_LESTE,"Les Teillais",,47.948818,0.122977,,,1,,
StopArea:MANPLA_LECHA,"Le Châtaignier",,47.950428,0.125213,,,1,,
StopArea:MANPLA_LEPAV,"Le Pavillon Allonnes",,47.946976,0.130714,,,1,,
StopArea:MANPLA_LAHAR,"La Hardangère",,47.951267,0.141181,,,1,,
StopArea:MANPLA_ECOPA,"École Pasteur",,47.968369,0.157402,,,1,,
StopArea:MANPLA_ECOLY,"École Lyautey",,47.964909,0.156245,,,1,,
StopArea:MANPLA_BELLE,"Bellevue - Hauts de Coulaines",,48.020294,0.210902,,,1,,
StopArea:MANPLA_LEONT,"Léon Tolstoï",,48.019444,0.209609,,,1,,
StopArea:MANPLA_PAULL,"Paul-Louis Jacques",,48.017712,0.206769,,,1,,
StopArea:MANPLA_COPEN,"Copenhague",,48.019958,0.20629,,,1,,
StopArea:MANPLA_EUROP,"Europe",,48.021912,0.206801,,,1,,
StopArea:MANPLA_EGCOU,"Église Coulaines",,48.024357,0.205629,,,1,,
StopArea:MANPLA_LAPAI,"La Paix",,48.024216,0.202269,,,1,,
StopArea:MANPLA_JEANC,"Jean Cocteau",,48.028484,0.203008,,,1,,
StopArea:MANPLA_LEVER,"Le Verger",,48.031441,0.2049,,,1,,
StopArea:MANPLA_CAMPU,"Campus - Ribay",,48.015923,0.161389,,,1,,
StopArea:MANPLA_SARGE,"Sargé-lès-le-Mans",,48.034019,0.24063,,,1,,
StopArea:MANPLA_DIDIE,"Didier Pironi",,48.035366,0.239976,,,1,,
StopArea:MANPLA_RUDBA,"Rue de Ballon",,48.03801,0.238342,,,1,,
StopArea:MANPLA_LABOU,"La Bouquetière",,48.039053,0.240014,,,1,,
StopArea:MANPLA_MARCE,"Marcel Cerdan",,48.039219,0.241607,,,1,,
StopArea:MANPLA_MAREC,"Maréchaux",,48.038933,0.247131,,,1,,
StopArea:MANPLA_CAPUC,"Capucines",,48.036125,0.245154,,,1,,
StopArea:MANPLA_CERIS,"Cerisiers",,48.033066,0.242643,,,1,,
StopArea:MANPLA_BIGNO,"Bignon",,48.031101,0.243419,,,1,,
StopArea:MANPLA_CALVA,"Calvaire",,48.028301,0.242376,,,1,,
StopArea:MANPLA_BONNE,"Bonnetable",,48.02557,0.236906,,,1,,
StopArea:MANPLA_DOREE,"Dorée",,48.023808,0.232927,,,1,,
StopArea:MANPLA_FONTE,"Fontenelles",,48.020603,0.225975,,,1,,
StopArea:MANPLA_KABOU,"Kaboul",,48.019306,0.222902,,,1,,
StopArea:MANPLA_COLPS,"Collège La Psalette",,48.016529,0.204605,,,1,,
StopArea:MANPLA_PAREN,"Parence",,48.035713,0.288074,,,1,,
StopArea:MANPLA_PASSE,"Passe-Temps",,48.030327,0.280505,,,1,,
StopArea:MANPLA_CHYVR,"Château",,48.025913,0.277472,,,1,,
StopArea:MANPLA_BEROI,"Béroize",,48.036331,0.287151,,,1,,
StopArea:MANPLA_COLPA,"Collège Pasteur",,48.016727,0.270468,,,1,,
StopArea:MANPLA_ARCYY,"Arcy",,48.025711,0.259913,,,1,,
StopArea:MANPLA_SBLAN,"Sablon Blanc",,48.027763,0.25609,,,1,,
StopArea:MANPLA_JUGAN,"Jugannerie",,48.03212,0.273045,,,1,,
StopArea:MANPLA_ROTIY,"Rôti",,48.034878,0.282057,,,1,,
StopArea:MANPLA_COLCH,"Collège Champagné",,48.022293,0.331564,,,1,,
StopArea:MANPLA_GEORG,"Georges Brassens",,48.018517,0.327156,,,1,,
StopArea:MANPLA_BASSE,"Basse Lande",,48.017521,0.323078,,,1,,
StopArea:MANPLA_AUVOU,"Auvours",,48.013405,0.317578,,,1,,
StopArea:MANPLA_POLUC,"Polucan",,48.011597,0.285512,,,1,,
StopArea:MANPLA_GESAN,"George Sand",,48.01432,0.271596,,,1,,
StopArea:MANPLA_PERCH,"Perche",,48.015194,0.270034,,,1,,
StopArea:MANPLA_NARCI,"Narcisses",,48.014671,0.26496,,,1,,
StopArea:MANPLA_LYBEL,"Lycée Bellevue",,48.012352,0.205657,,,1,,
StopArea:MANPLA_LYCMO,"Lycée Montesquieu",,48.007236,0.20059,,,1,,
StopArea:MANPLA_LEOPO,"Léopold Gouloumes",,48.021553,0.331117,,,1,,
StopArea:MANPLA_JACQU,"Jacques Prévert",,48.023319,0.33243,,,1,,
StopArea:MANPLA_LYCSU,"Lycée Sud",,47.98241,0.228575,,,1,,
StopArea:MANPLA_FUNAY,"Funay",,47.985043,0.225321,,,1,,
StopArea:MANPLA_LYCEE,"Lycée Washington",,47.994762,0.203174,,,1,,
StopArea:MANPLA_WASHI,"Washington",,47.995628,0.202408,,,1,,
StopArea:MANPLA_LESLA,"Les Landes",,47.95549,0.229798,,,1,,
StopArea:MANPLA_BELET,"Belle Étoile",,47.951504,0.233747,,,1,,
StopArea:MANPLA_BOUCH,"Bouchardière",,47.942154,0.26229,,,1,,
StopArea:MANPLA_BRISS,"Brissons",,47.936836,0.268885,,,1,,
StopArea:MANPLA_LESCH,"Les Charmeuses",,47.935146,0.274475,,,1,,
