route_id,service_id,trip_id,trip_headsign,trip_short_name,direction_id,block_id,wheelchair_accessible,bikes_allowed,trip_desc,shape_id
MAN164-205,20,MAN3098966-ST-SC2021A-SEM-SSTR-Semaine-00-2_32124,"Aller",,0,,0,0,,MAN1640001
MAN163-205,20,MAN3098964-ST-SC2021A-SEM-SSTR-Semaine-00-2_32122,"Ste-Catherine",,0,,0,0,,MAN1630001
MAN163-205,20,MAN3098965-ST-SC2021A-SEM-SSTR-Semaine-00-2_32123,"Gare Routi?re",,1,,0,0,,MAN1630002
MAN162-205,20,MAN3098962-ST-SC2021A-SEM-SSTR-Semaine-00-2_32119,"Ste-Catherine",,0,,0,0,,MAN1620001
MAN162-205,20,MAN3098963-ST-SC2021A-SEM-SSTR-Semaine-00-2_32120,"?peron",,1,,0,0,,MAN1620002
MAN162-205,20,MAN3099858-ST-SC2021A-SEM-SSTR-Semaine-00-2_32121,"?peron",,1,,0,0,,MAN1620002
MAN161-205,19,MAN3099856-ST-SC2021A-SEM-SSTR-Semaine-00-1101100-2_32117,"Foresterie",,0,,0,0,,MAN1610005
MAN161-205,19,MAN3099857-ST-SC2021A-SEM-SSTR-Semaine-00-1101100-2_32118,"Foresterie",,0,,0,0,,MAN1610004
MAN160-205,20,MAN3098959-ST-SC2021A-SEM-SSTR-Semaine-00-2_32114,"Coll?ge ?pine",,0,,0,0,,MAN1600003
MAN160-205,19,MAN3098960-ST-SC2021A-SEM-SSTR-Semaine-00-1101100-2_32115,"Foresterie",,1,,0,0,,MAN1600004
MAN160-205,16,MAN3098961-ST-SC2021A-SEM-SSTR-Semaine-00-0010000-2_32116,"Foresterie",,1,,0,0,,MAN1600004
MAN156-205,20,MAN3098979-ST-SC2021A-SEM-SSTR-Semaine-00-2_32111,"Coll?ge Ambroise Par?",,0,,0,0,,MAN1560004
MAN156-205,19,MAN3098980-ST-SC2021A-SEM-SSTR-Semaine-00-1101100-2_32112,"Ancien ?tang",,1,,0,0,,MAN1560005
MAN156-205,16,MAN3098981-ST-SC2021A-SEM-SSTR-Semaine-00-0010000-2_32113,"Ancien ?tang",,1,,0,0,,MAN1560005
MAN155-205,20,MAN3098976-ST-SC2021A-SEM-SSTR-Semaine-00-2_32108,"Coll?ge Ambroise Par?",,0,,0,0,,MAN1550005
MAN155-205,20,MAN3130756-ST-SC2021A-SEM-SSTR-Semaine-00-2_32109,"Les Gravillons",,1,,0,0,,MAN1550006
MAN155-205,16,MAN3130757-ST-SC2021A-SEM-SSTR-Semaine-00-0010000-2_32110,"Les Gravillons",,1,,0,0,,MAN1550006
MAN154-205,20,MAN3098973-ST-SC2021A-SEM-SSTR-Semaine-00-2_32105,"Coll?ge Vieux Colombier",,0,,0,0,,MAN1540003
MAN154-205,19,MAN3098974-ST-SC2021A-SEM-SSTR-Semaine-00-1101100-2_32106,"Route de Fay",,1,,0,0,,MAN1540004
MAN154-205,16,MAN3098975-ST-SC2021A-SEM-SSTR-Semaine-00-0010000-2_32107,"Route de Fay",,1,,0,0,,MAN1540004
MAN153-205,20,MAN3098952-ST-SC2021A-SEM-SSTR-Semaine-00-2_32102,"Coll?ge Vieux Colombier",,0,,0,0,,MAN1530003
MAN153-205,19,MAN3098953-ST-SC2021A-SEM-SSTR-Semaine-00-1101100-2_32103,"Les Gravillons",,1,,0,0,,MAN1530004
MAN153-205,16,MAN3098954-ST-SC2021A-SEM-SSTR-Semaine-00-0010000-2_32104,"Les Gravillons",,1,,0,0,,MAN1530004
MAN152-205,20,MAN3098949-ST-SC2021A-SEM-SSTR-Semaine-00-2_32099,"Lyc?e Malraux",,0,,0,0,,MAN1520003
MAN152-205,19,MAN3098950-ST-SC2021A-SEM-SSTR-Semaine-00-1101100-2_32100,"?glise Fay",,1,,0,0,,MAN1520004
MAN152-205,16,MAN3098951-ST-SC2021A-SEM-SSTR-Semaine-00-0010000-2_32101,"?glise Fay",,1,,0,0,,MAN1520004
MAN151-205,20,MAN3098970-ST-SC2021A-SEM-SSTR-Semaine-00-2_32096,"Lyc?e St-Joseph",,0,,0,0,,MAN1510001
MAN151-205,19,MAN3098971-ST-SC2021A-SEM-SSTR-Semaine-00-1101100-2_32097,"C.C St Georges du bois",,1,,0,0,,MAN1510002
MAN151-205,16,MAN3098972-ST-SC2021A-SEM-SSTR-Semaine-00-0010000-2_32098,"C.C St Georges du bois",,1,,0,0,,MAN1510002
MAN150-205,20,MAN3098967-ST-SC2021A-SEM-SSTR-Semaine-00-2_32093,"Coll?ge Kennedy",,0,,0,0,,MAN1500001
MAN150-205,19,MAN3098968-ST-SC2021A-SEM-SSTR-Semaine-00-1101100-2_32094,"C.C St-Georges-du-Bois",,1,,0,0,,MAN1500002
MAN150-205,16,MAN3098969-ST-SC2021A-SEM-SSTR-Semaine-00-0010000-2_32095,"C.C St-Georges-du-Bois",,1,,0,0,,MAN1500002
MAN141-205,20,MAN3099000-ST-SC2021A-SEM-SSTR-Semaine-00-2_32088,"Lyc?e Malraux",,0,,0,0,,MAN1410001
MAN141-205,19,MAN3099001-ST-SC2021A-SEM-SSTR-Semaine-00-1101100-2_32089,"Tourellerie",,1,,0,0,,MAN1410005
MAN141-205,16,MAN3099002-ST-SC2021A-SEM-SSTR-Semaine-00-0010000-2_32090,"Tourellerie",,1,,0,0,,MAN1410005
MAN141-205,19,MAN3127761-ST-SC2021A-SEM-SSTR-Semaine-00-1101100-2_32091,"Tourellerie",,1,,0,0,,MAN1410004
MAN141-205,16,MAN3127762-ST-SC2021A-SEM-SSTR-Semaine-00-0010000-2_32092,"Tourellerie",,1,,0,0,,MAN1410004
MAN140-205,19,MAN3098996-ST-SC2021A-SEM-SSTR-Semaine-00-1101100-2_32084,"?cole Lyautey",,0,,0,0,,MAN1400001
MAN140-205,16,MAN3098997-ST-SC2021A-SEM-SSTR-Semaine-00-0010000-2_32085,"?cole Lyautey",,0,,0,0,,MAN1400002
MAN140-205,19,MAN3098998-ST-SC2021A-SEM-SSTR-Semaine-00-1101100-2_32086,"La Hardang?re",,1,,0,0,,MAN1400003
MAN140-205,16,MAN3098999-ST-SC2021A-SEM-SSTR-Semaine-00-0010000-2_32087,"La Hardang?re",,1,,0,0,,MAN1400004
MAN131-205,20,MAN3098995-ST-SC2021A-SEM-SSTR-Semaine-00-2_32083,"Campus Ribay",,0,,0,0,,MAN1310001
MAN130-205,20,MAN3098955-ST-SC2021A-SEM-SSTR-Semaine-00-2_32079,"Coll?ge La Psalette",,0,,0,0,,MAN1300005
MAN130-205,19,MAN3098956-ST-SC2021A-SEM-SSTR-Semaine-00-1101100-2_32080,"Sarg?-l?s-Le-Mans",,1,,0,0,,MAN1300008
MAN130-205,19,MAN3098957-ST-SC2021A-SEM-SSTR-Semaine-00-1101100-2_32081,"Sarg?-l?s-Le-Mans",,1,,0,0,,MAN1300007
MAN130-205,16,MAN3098958-ST-SC2021A-SEM-SSTR-Semaine-00-0010000-2_32082,"Sarg?-l?s-Le-Mans",,1,,0,0,,MAN1300006
MAN122-205,20,MAN3143978-ST-SC2021A-SEM-SSTR-Semaine-00-2_32075,"George Sand par Juganneri",,0,,0,0,,MAN1220005
MAN122-205,20,MAN3143979-ST-SC2021A-SEM-SSTR-Semaine-00-2_32076,"George Sand par Juganneri",,0,,0,0,,MAN1220006
MAN122-205,19,MAN3098993-ST-SC2021A-SEM-SSTR-Semaine-00-1101100-2_32077,"George Sand par Parence/J",,1,,0,0,,MAN1220004
MAN122-205,16,MAN3098994-ST-SC2021A-SEM-SSTR-Semaine-00-0010000-2_32078,"George Sand par Parence/J",,1,,0,0,,MAN1220004
MAN121-205,20,MAN3098990-ST-SC2021A-SEM-SSTR-Semaine-00-2_32073,"Lyc?e Montesquieu",,0,,0,0,,MAN1210001
MAN121-205,19,MAN3098991-ST-SC2021A-SEM-SSTR-Semaine-00-1101100-2_32074,"Champagn?",,1,,0,0,,MAN1210002
MAN120-205,20,MAN3098988-ST-SC2021A-SEM-SSTR-Semaine-00-2_32071,"Lyc?e Washington",,0,,0,0,,MAN1200001
MAN120-205,19,MAN3098989-ST-SC2021A-SEM-SSTR-Semaine-00-1101100-2_32072,"Champagn?",,1,,0,0,,MAN1200002
MAN113-205,20,MAN3098946-ST-SC2021A-SEM-SSTR-Semaine-00-2_32068,"College Les Sources",,0,,0,0,,MAN1130006
MAN113-205,19,MAN3098947-ST-SC2021A-SEM-SSTR-Semaine-00-1101100-2_32069,"Les Landes",,1,,0,0,,MAN1130007
MAN113-205,16,MAN3098948-ST-SC2021A-SEM-SSTR-Semaine-00-0010000-2_32070,"Les Landes",,1,,0,0,,MAN1130007
MAN112-205,20,MAN3098943-ST-SC2021A-SEM-SSTR-Semaine-00-2_32065,"Lyc?e Claude Chappe",,0,,0,0,,MAN1120003
MAN112-205,19,MAN3098944-ST-SC2021A-SEM-SSTR-Semaine-00-1101100-2_32066,"Mulsanne",,1,,0,0,,MAN1120004
MAN112-205,16,MAN3098945-ST-SC2021A-SEM-SSTR-Semaine-00-0010000-2_32067,"Mulsanne",,1,,0,0,,MAN1120004
MAN111-205,20,MAN3098986-ST-SC2021A-SEM-SSTR-Semaine-00-2_32063,"Lyc?e Montesquieu",,0,,0,0,,MAN1110003
MAN111-205,19,MAN3098987-ST-SC2021A-SEM-SSTR-Semaine-00-1101100-2_32064,"Mulsanne",,1,,0,0,,MAN1110004
MAN110-205,20,MAN3098983-ST-SC2021A-SEM-SSTR-Semaine-00-2_32060,"Sainte H?l?ne",,0,,0,0,,MAN1100003
MAN110-205,19,MAN3098984-ST-SC2021A-SEM-SSTR-Semaine-00-1101100-2_32061,"Mulsanne",,1,,0,0,,MAN1100004
MAN110-205,16,MAN3098985-ST-SC2021A-SEM-SSTR-Semaine-00-0010000-2_32062,"Mulsanne",,1,,0,0,,MAN1100004
MAN103-205,20,MAN3098982-ST-SC2021A-SEM-SSTR-Semaine-00-2_32059,"Lyc?e Sud",,0,,0,0,,MAN1030001
